date_created,contacts_n,contacts_n_1,contacts_n_2,contacts_n_3,contacts_n_4,contacts_n_5,contacts_n_6,contacts_n_7,new_type,new_market
2022-02-04,199,21,6,11,7,14,5,6,type_5,market_1
2022-01-30,19,2,0,2,1,0,0,0,type_1,market_1
2022-02-14,29,0,2,2,0,1,0,1,type_1,market_1
2022-01-16,120,6,6,5,4,7,4,null,type_2,market_1
2022-02-03,182,27,13,null,14,4,3,2,type_5,market_1
2022-03-08,3,null,null,null,null,null,null,1,type_4,market_1
2022-03-05,2,1,null,1,null,null,null,null,type_4,market_1
2022-02-01,262,14,8,7,3,2,3,8,type_2,market_1
2022-01-04,15,2,3,1,null,null,1,2,type_3,market_1
2022-02-10,258,11,10,4,7,7,7,5,type_2,market_1
2022-01-11,263,28,9,13,8,5,12,8,type_5,market_1
2022-01-22,6,null,null,1,3,2,null,1,type_3,market_1
2022-02-02,2,null,null,null,null,null,null,null,type_4,market_1
2022-03-26,206,24,11,20,11,7,5,7,type_5,market_1
2022-02-13,26,0,0,0,1,0,0,0,type_1,market_1
2022-01-10,44,3,1,1,2,0,4,0,type_1,market_1
2022-03-14,23,4,5,1,0,0,0,3,type_1,market_1
2022-02-26,18,2,1,1,0,3,0,0,type_1,market_1
2022-02-10,21,null,1,null,null,1,2,1,type_3,market_1
2022-02-17,9,3,null,1,2,null,null,null,type_3,market_1
2022-01-30,133,12,6,10,5,8,4,3,type_5,market_1
2022-01-04,44,4,4,3,0,1,3,2,type_1,market_1
2022-01-05,4,null,null,null,null,null,null,null,type_4,market_1
2022-03-21,211,29,27,9,13,9,11,10,type_5,market_1
2022-01-29,130,5,10,5,10,8,3,6,type_2,market_1
2022-02-11,37,0,0,1,0,2,0,0,type_1,market_1
2022-01-20,22,2,6,3,1,0,0,0,type_1,market_1
2022-03-22,503,23,25,13,11,3,18,14,type_2,market_1
2022-03-18,19,2,1,4,null,2,2,null,type_3,market_1
2022-03-09,306,19,12,8,4,7,7,9,type_2,market_1
2022-02-04,24,1,0,0,2,2,0,4,type_1,market_1
2022-01-14,5,null,null,null,null,null,null,null,type_4,market_1
2022-01-08,112,5,8,4,3,6,4,5,type_2,market_1
2022-01-15,32,3,2,0,1,2,0,0,type_1,market_1
2022-02-17,157,10,3,6,3,4,5,8,type_5,market_1
2022-01-05,17,3,1,null,1,null,1,null,type_3,market_1
2022-01-10,240,7,8,13,7,2,4,2,type_2,market_1
2022-03-13,145,21,8,7,2,5,7,5,type_5,market_1
2022-01-27,23,4,1,1,1,0,0,0,type_1,market_1
2022-03-17,32,3,1,0,0,0,0,1,type_1,market_1
2022-02-19,8,3,1,2,null,1,null,null,type_3,market_1
2022-01-26,21,2,2,1,4,4,null,1,type_3,market_1
2022-01-11,2,null,null,null,null,1,null,null,type_4,market_1
2022-01-21,11,3,1,3,3,null,null,1,type_3,market_1
2022-02-23,295,3,11,5,7,14,4,6,type_2,market_1
2022-02-19,null,1,null,null,null,null,null,null,type_4,market_1
2022-01-26,249,19,7,3,1,9,5,4,type_2,market_1
2022-01-25,2,null,null,null,null,null,null,null,type_4,market_1
2022-01-23,20,1,2,0,1,1,1,2,type_1,market_1
2022-03-03,213,25,13,11,9,7,4,9,type_5,market_1
2022-02-02,28,1,0,0,3,2,1,0,type_1,market_1
2022-02-14,196,20,13,4,4,1,6,4,type_5,market_1
2022-03-12,1,null,1,1,1,null,null,null,type_4,market_1
2022-03-27,2,null,1,null,1,null,null,null,type_4,market_1
2022-02-08,31,3,1,2,1,0,1,0,type_1,market_1
2022-02-28,250,29,19,15,4,14,10,9,type_5,market_1
2022-01-20,11,4,2,null,2,1,1,null,type_3,market_1
2022-02-20,12,2,1,0,0,1,0,1,type_1,market_1
2022-03-11,346,11,7,8,6,6,7,3,type_2,market_1
2022-01-23,95,2,7,2,4,7,4,2,type_2,market_1
2022-02-25,3,null,null,null,null,null,null,null,type_4,market_1
2022-01-20,216,27,8,2,11,3,7,6,type_5,market_1
2022-01-25,24,0,2,5,1,2,0,1,type_1,market_1
2022-02-11,5,null,null,null,null,1,null,null,type_4,market_1
2022-03-28,5,null,null,null,1,null,null,null,type_4,market_1
2022-03-31,391,11,5,10,15,8,6,3,type_2,market_1
2022-02-12,null,null,null,null,null,null,null,null,type_4,market_1
2022-02-22,9,null,null,null,1,null,1,1,type_4,market_1
2022-01-15,3,null,null,null,1,null,null,null,type_4,market_1
2022-03-18,266,13,10,12,16,10,6,5,type_2,market_1
2022-01-21,226,8,6,6,7,4,4,3,type_2,market_1
2022-01-19,25,4,0,3,1,1,0,0,type_1,market_1
2022-02-08,6,null,null,null,null,null,null,null,type_4,market_1
2022-03-13,2,2,null,1,null,null,null,null,type_4,market_1
2022-01-29,172,9,13,8,6,7,3,7,type_5,market_1
2022-01-11,28,6,0,1,3,0,0,3,type_1,market_1
2022-01-02,39,2,2,2,0,2,2,2,type_1,market_1
2022-03-13,36,3,0,2,0,0,1,0,type_1,market_1
2022-03-01,19,0,4,0,2,1,0,2,type_1,market_1
2022-01-07,45,6,3,2,4,2,2,0,type_1,market_1
2022-02-22,15,4,1,null,1,2,1,1,type_3,market_1
2022-02-10,31,8,0,0,1,1,2,2,type_1,market_1
2022-01-05,280,5,9,2,6,7,3,7,type_2,market_1
2022-01-21,227,18,7,13,6,12,7,5,type_5,market_1
2022-03-15,24,7,1,1,0,0,0,1,type_1,market_1
2022-02-07,208,26,11,8,7,10,6,12,type_5,market_1
2022-02-12,178,17,13,5,3,2,1,2,type_5,market_1
2022-03-19,152,17,9,11,11,7,3,1,type_5,market_1
2022-02-24,181,20,10,4,8,9,13,3,type_5,market_1
2022-02-24,276,19,4,6,6,9,2,7,type_2,market_1
2022-02-05,164,8,7,1,2,4,7,3,type_2,market_1
2022-01-02,1,null,null,null,null,null,null,null,type_4,market_1
2022-02-26,1,1,null,null,null,null,null,null,type_4,market_1
2022-02-19,150,15,13,6,1,7,9,3,type_5,market_1
2022-03-28,190,27,10,12,6,7,3,3,type_5,market_1
2022-03-27,22,1,2,0,0,0,3,2,type_1,market_1
2022-02-05,152,16,10,9,7,7,4,7,type_5,market_1
2022-01-30,9,4,4,null,null,null,null,null,type_3,market_1
2022-02-08,217,12,10,4,3,5,13,4,type_2,market_1
2022-01-06,214,27,16,12,15,12,6,6,type_5,market_1
2022-02-25,278,17,12,15,9,4,5,5,type_2,market_1
2022-03-12,232,9,12,3,5,1,5,3,type_2,market_1
2022-02-16,18,null,4,2,1,1,null,null,type_3,market_1
2022-02-18,2,null,null,null,1,null,null,null,type_4,market_1
2022-01-12,19,3,1,null,null,null,1,3,type_3,market_1
2022-03-02,16,4,0,2,1,0,2,0,type_1,market_1
2022-01-11,261,13,12,6,4,2,13,5,type_2,market_1
2022-02-19,150,8,6,7,3,3,3,2,type_2,market_1
2022-01-29,null,null,null,null,null,null,null,null,type_4,market_1
2022-01-18,15,1,1,3,1,null,3,null,type_3,market_1
2022-02-26,198,9,6,12,5,11,6,7,type_2,market_1
2022-02-27,141,13,3,2,3,1,3,4,type_2,market_1
2022-02-25,183,22,14,12,8,14,4,1,type_5,market_1
2022-03-07,16,2,1,2,2,2,0,1,type_1,market_1
2022-02-18,20,3,0,1,1,1,1,0,type_1,market_1
2022-01-25,18,6,null,3,1,null,2,1,type_3,market_1
2022-03-06,141,7,10,8,3,3,5,4,type_5,market_1
2022-01-09,165,24,13,4,7,2,6,4,type_5,market_1
2022-02-10,155,16,8,7,9,7,11,8,type_5,market_1
2022-01-03,395,18,23,9,7,6,7,9,type_2,market_1
2022-01-12,280,18,17,2,3,6,7,6,type_2,market_1
2022-02-10,1,null,null,null,null,null,1,null,type_4,market_1
2022-02-12,17,4,1,0,3,0,1,3,type_1,market_1
2022-01-31,3,null,null,null,null,null,null,1,type_4,market_1
2022-01-09,107,3,7,8,5,1,3,3,type_2,market_1
2022-03-09,15,null,3,2,null,1,4,1,type_3,market_1
2022-01-08,9,1,1,null,3,1,2,null,type_3,market_1
2022-01-17,224,17,9,7,10,6,5,6,type_2,market_1
2022-01-08,1,null,null,null,null,null,null,null,type_4,market_1
2022-01-15,146,8,8,8,6,7,3,4,type_2,market_1
2022-02-16,174,6,8,8,6,9,7,2,type_5,market_1
2022-03-22,14,null,null,1,null,null,1,2,type_3,market_1
2022-02-04,16,null,2,1,3,1,2,1,type_3,market_1
2022-03-12,11,null,5,3,null,null,1,null,type_3,market_1
2022-03-26,1,1,null,null,null,null,null,null,type_4,market_1
2022-03-14,28,3,2,1,1,2,null,3,type_3,market_1
2022-03-31,235,21,15,8,19,6,8,11,type_5,market_1
2022-02-28,35,3,0,3,0,3,0,0,type_1,market_1
2022-01-05,52,3,1,1,6,3,0,2,type_1,market_1
2022-03-02,22,3,1,3,null,2,null,1,type_3,market_1
2022-03-14,370,10,12,9,10,5,5,20,type_2,market_1
2022-01-20,1,null,1,1,null,null,null,null,type_4,market_1
2022-03-06,169,12,8,8,6,7,7,4,type_2,market_1
2022-03-20,142,15,6,3,4,6,2,1,type_2,market_1
2022-02-02,12,1,1,null,null,3,1,null,type_3,market_1
2022-02-22,45,1,2,0,1,0,1,0,type_1,market_1
2022-01-01,30,6,0,1,2,0,1,0,type_1,market_1
2022-03-30,3,null,null,null,null,null,null,null,type_4,market_1
2022-03-31,3,null,null,null,null,null,null,null,type_4,market_1
2022-02-19,24,2,2,1,0,2,1,1,type_1,market_1
2022-01-03,18,1,2,1,null,1,null,null,type_3,market_1
2022-03-16,28,3,3,1,1,null,3,4,type_3,market_1
2022-03-02,1,null,1,1,null,null,1,null,type_4,market_1
2022-03-31,15,2,1,1,3,null,2,null,type_3,market_1
2022-03-09,202,21,7,6,2,14,6,3,type_5,market_1
2022-02-16,236,8,8,6,4,6,4,7,type_2,market_1
2022-02-20,2,1,null,null,null,null,null,null,type_4,market_1
2022-01-19,2,null,1,1,1,null,null,null,type_4,market_1
2022-03-25,280,46,13,8,12,15,7,7,type_5,market_1
2022-02-22,254,20,11,8,7,7,10,8,type_5,market_1
2022-03-05,182,9,16,3,5,8,2,4,type_5,market_1
2022-03-10,361,10,7,4,13,5,12,4,type_2,market_1
2022-02-07,2,null,1,null,null,null,null,null,type_4,market_1
2022-03-17,170,9,9,5,10,7,10,9,type_5,market_1
2022-01-07,7,null,null,null,null,null,null,1,type_4,market_1
2022-03-03,15,null,1,1,4,1,1,1,type_3,market_1
2022-01-06,43,4,2,2,3,0,4,0,type_1,market_1
2022-03-03,368,22,15,5,13,12,7,7,type_2,market_1
2022-01-24,4,1,null,null,null,null,null,null,type_4,market_1
2022-03-25,17,4,1,6,2,2,2,2,type_3,market_1
2022-01-10,14,null,null,1,null,null,null,null,type_3,market_1
2022-01-03,259,25,16,11,6,8,4,11,type_5,market_1
2022-03-25,344,18,6,13,13,14,11,2,type_2,market_1
2022-03-01,3,null,null,null,null,1,null,null,type_4,market_1
2022-02-18,157,14,6,7,4,4,4,4,type_5,market_1
2022-03-21,26,null,3,2,null,4,null,null,type_3,market_1
2022-03-31,33,2,5,0,3,3,1,0,type_1,market_1
2022-03-18,178,13,7,5,3,5,5,7,type_5,market_1
2022-02-18,263,11,3,9,5,7,4,4,type_2,market_1
2022-01-12,2,1,null,null,null,null,null,null,type_4,market_1
2022-01-02,111,8,5,5,1,5,2,2,type_2,market_1
2022-01-30,null,null,null,null,null,null,null,null,type_4,market_1
2022-03-05,19,null,1,null,null,null,2,1,type_3,market_1
2022-03-04,18,0,0,1,2,1,1,1,type_1,market_1
2022-02-23,15,1,3,null,2,1,null,3,type_3,market_1
2022-01-26,1,null,null,null,null,null,1,null,type_4,market_1
2022-01-07,228,12,7,4,8,6,5,4,type_2,market_1
2022-03-06,20,1,2,0,0,1,0,3,type_1,market_1
2022-03-01,25,1,1,null,2,1,2,1,type_3,market_1
2022-03-27,167,16,8,10,4,4,3,1,type_2,market_1
2022-01-28,11,1,2,2,null,1,1,null,type_3,market_1
2022-03-07,6,1,null,null,null,null,null,null,type_4,market_1
2022-03-02,342,11,8,5,7,9,8,15,type_2,market_1
2022-01-14,219,3,1,10,10,8,6,7,type_2,market_1
2022-01-04,207,27,10,12,18,13,5,8,type_5,market_1
2022-03-23,275,35,25,13,4,6,20,11,type_5,market_1
2022-03-06,5,1,null,null,null,null,null,null,type_3,market_1
2022-02-28,6,null,null,null,null,1,1,1,type_4,market_1
2022-02-21,198,16,16,8,6,7,2,14,type_5,market_1
2022-03-29,38,2,1,2,1,2,2,1,type_1,market_1
2022-03-17,3,null,null,null,null,null,null,null,type_4,market_1
2022-02-21,241,9,15,5,7,7,5,9,type_2,market_1
2022-01-21,5,2,null,null,1,null,null,null,type_4,market_1
2022-02-26,180,19,9,9,7,8,4,3,type_5,market_1
2022-02-28,29,5,4,4,1,null,null,2,type_3,market_1
2022-02-17,242,7,4,2,2,14,8,3,type_2,market_1
2022-02-11,173,20,5,11,3,10,3,2,type_5,market_1
2022-01-18,288,19,7,7,10,6,9,8,type_2,market_1
2022-01-28,32,2,3,2,0,3,2,0,type_1,market_1
2022-02-28,433,25,16,11,12,7,7,11,type_2,market_1
2022-03-08,17,1,1,4,null,null,null,2,type_3,market_1
2022-01-18,249,31,22,9,14,4,7,1,type_5,market_1
2022-03-03,2,1,1,1,null,1,null,null,type_4,market_1
2022-03-25,2,1,1,null,null,null,null,null,type_4,market_1
2022-03-21,28,6,1,3,0,5,0,4,type_1,market_1
2022-03-30,242,29,14,6,7,21,8,15,type_5,market_1
2022-02-14,2,null,1,null,null,null,null,null,type_4,market_1
2022-03-12,145,14,12,5,6,3,2,6,type_5,market_1
2022-02-12,9,1,1,1,2,1,2,null,type_3,market_1
2022-01-01,null,null,null,null,null,null,null,null,type_4,market_1
2022-03-07,18,2,2,2,1,null,null,1,type_3,market_1
2022-01-01,166,12,13,7,8,2,1,5,type_5,market_1
2022-02-01,1,null,null,null,null,null,null,null,type_4,market_1
2022-02-01,16,3,0,1,0,0,1,3,type_1,market_1
